comp_name,comp_type,comp_headq,how_old,comp_no_emp,comp_review,open_jobs,comp_services,comp_logo,comp_description
Ernst & Young,Private,London + 75 more,10k-50k Employees (India),34 years old,(6.8k Reviews),1.7k,"['Consulting', 'IT Services & Consulting', 'Accounting & Auditing']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2VybnN0LXlvdW5nLmpwZw.webp,"At EY, our purpose is Building a better working world. The insights and quality services we provide help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all of our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities.

In a world that�s changing faster than ever, our purpose acts as our �North Star� guiding our more than 280,000 people � providing the context and meaning for the work we do every day. We help digital pioneers fight data piracy; guide governments through cash-flow crises; unlock new medical treatments with data analytics; and pursue high quality audits to build trust in financial markets and business. In other words, working with entrepreneurs, companies, and entire countries to solve their most pressing challenges."

DXC Technology,Public,"Minato,Tokyo + 56 more",10k-50k Employees (India),6 years old,(7.3k Reviews),964,"['IT Services & Consulting', 'Forbes Global 2000', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2R4Yy10ZWNobm9sb2d5LmpwZw.webp,"We deliver the mission critical IT services that move the world.

DXC Technology is a Fortune 500 global IT services leader. Our more than 130,000 people in 70-plus countries are entrusted by our customers to deliver what matters most. We use the power of technology to deliver mission critical IT services across the Enterprise Technology Stack to drive business impact. DXC is an employer of choice with strong values, and fosters a culture of inclusion, belonging and corporate citizenship. We are DXC.

What we do
We deliver the IT services our customers need to modernize operations and drive innovation across their entire IT estate.

We provide services across the Enterprise Technology Stack for business process outsourcing, analytics and engineering, applications, security, cloud, IT outsourcing and modern workplace.

How we work
Every day, we earn our customers� trust by delivering transformative technologies to ensure the success, safety and well-being of businesses and people worldwide.

We provide world-class IT services at scale from our Global Innovation and Delivery Centers in North America, South America, Europe, Asia and Australia. Our globally connected centers enable us to solve complex technology challenges and transform our customers� businesses through our dedicated delivery workforce of more than 110,000 people. With globally distributed teams and rich engineering skills, DXC offers competitive solutions to address customers� cost, regulatory, language and business continuity requirements.

We leverage the power of partnerships through our curated DXC ecosystem of technology leaders. By combining strengths and expertise globally, we create solutions and deliver greater outcomes for customers across the Enterprise Technology Stack.

Our values
Our values are the fabric of DXC. They bind us together regardless of where or how we work and position us to succeed on our transformation journey.

Join our team
We inspire and take care of our people. We work to create a culture of learning, diversity and inclusion and are dedicated to strong ethics and corporate citizenship. In each of the three regions where we work � Americas; Europe, Middle East and Africa; and Asia Pacific � we�re singularly focused on delivering excellence for our customers.

DXC is where brilliant people embrace change and seize opportunities to advance their careers and amplify customer success."

Infosys BPM,"Bangalore/Bengaluru,Karnataka + 50 more",21 years old,10k-50k Employees (India),10k-50k Employees (India),(6.1k Reviews),91,"['BPO/KPO', 'BPO', 'Bangalore/Bengaluru,Karnataka']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2luZm9zeXMtYnBtLmpwZw.webp,"Infosys BPM, the business process management subsidiary of Infosys (NYSE: INFY), provides end-to-end transformative services for its clients across the globe. The company�s integrated IT and BPM solutions approach enables it to unlock business value across industries and service lines, and address business challenges for its clients. Utilizing innovative business excellence frameworks, ongoing productivity improvements, process reengineering, automation, and cutting-edge technology platforms, Infosys BPM enables its clients to achieve their cost reduction objectives, improve process efficiencies, enhance effectiveness, and deliver superior customer experience.
Infosys BPM has 32 delivery centers in 16 countries spread across 5 continents, with 43,111 employees from 100+ nationalities, as of December 2019.
The company has been consistently ranked among the leading BPM companies globally and has received over 60 awards and recognitions in the last 5 years, from key industry bodies and associations like the Outsourcing Center, SSON, and GSA, among others. Infosys BPM also has very robust people practices, as substantiated by the various HR-specific awards it has won over the years. The company has consistently been ranked among the top employers of choice, on the basis of its industry-leading HR best practices. The company�s senior leaders contribute widely to industry forums as BPM strategists."

Maruti Suzuki,Public,"New Delhi,Delhi + 381 more",10k-50k Employees (India),40 years old,(6.1k Reviews),306,"['Automobile', 'Manufacturing', 'Fortune India 500', 'Public', 'New Delhi,Delhi']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL21hcnV0aS1zdXp1a2kuanBn.webp,"Cars are what Maruti Suzuki builds. Experiences are what it creates.

Experiences fuelled by innovations, forward thinking, and a commitment to bring the very best to Indian roads. From the day the iconic Maruti 800 was launched in 1983, the company has been spearheading a revolution of change. Turning an entire country�s need for driving, into its love for driving.

However, tastes and demands keep on evolving with each new generation of Indians. This has not been looked at by Maruti Suzuki as a challenge, but as an inspiration to go beyond traditional boundaries of car-making. Infusing design and technology is one such step it has taken to make its cars meet new age expectations smoothly.

Today, Maruti Suzuki has its eyes set firmly on the possibilities of tomorrow. And everybody is invited on this journey."

Hinduja Global S...,Public,"Bangalore/Bengaluru,Karnataka + 77 more",10k-50k Employees (India),23 years old,(6.2k Reviews),96,"['BPO', 'Conglomerate', 'Fortune India 500', 'Public', 'Bangalore/Bengaluru,Karnataka']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2hpbmR1amEtZ2xvYmFsLXNvbHV0aW9ucy5qcGc.webp,"A global leader in optimizing the customer experience lifecycle, digital transformation, and business process management, HGS is helping its clients become more competitive every day. HGS combines automation, analytics, and artificial intelligence with deep domain expertise focusing on digital customer experiences, back-office processing, contact centers, and HRO solutions. Part of the multi-billion-dollar conglomerate Hinduja Group, HGS takes a �globally local� approach.  HGS has over 21,600 employees across 38 delivery centers in six countries, making a difference to some of the world�s leading brands across verticals. For the year ended March 31, 2022, HGS had revenues of Rs. 32,636.9 million (US$ 439 million).  

Visit https://hgs.cx to learn how HGS transforms customer experiences and builds businesses for the future."

