comp_name,comp_type,comp_headq,how_old,comp_no_emp,comp_review,open_jobs,comp_services,comp_logo,comp_description

Adani Power,Public,"Ahmedabad,Gujrat + 64 more",1k-5k Employees (India),17 years old,(1.1k Reviews),1,"['Manufacturing', 'Power', 'Fortune India 500', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2FkYW5pLXBvd2VyLmpwZw.webp,"Adani Power Limited (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. We have a power generation capacity of 12,450 MW comprising thermal power plants in Gujarat, Maharashtra, Karnataka, Rajasthan, and Chhattisgarh and a 40 MW solar power project in Gujarat.

We were the world�s first company to set up a coal-based Supercritical thermal power project registered under the Clean Development Mechanism (CDM) of the Kyoto protocol. Despite being a new entrant to power generation in 2006, we capitalised on the project management skills of the Adani Group to set up our first power plant at Mundra successfully and efficiently.

The power sector in India has undergone a challenging period in the past few years, which put to test the resilience of our business model. We have emerged stronger by successfully navigating the challenges through prudence, persistence and discipline."

Daikin,Private,"Osaka City,Osaka + 65 more",1k-5k Employees (India),23 years old,(846 Reviews),38,"['Manufacturing', 'Electronics', 'Consumer Electronics & Appliances', 'Forbes Global 2000', 'Fortune India 500']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2RhaWtpbi5qcGc.webp,"Daikin Airconditioning India Pvt. Ltd. ( DAIPL) is a 100% subsidiary of Daikin Industries Ltd., Japan, a global leader in the manufacturing of commercial-use and residential air conditioning systems. Backed by the superior technology, the organization offers a wide range of energy efficient air conditioning solutions to the Indian customers. It has been successfully offering premium air conditioning solutions in the Indian market for large-scale projects. Robust growth is forecasted in India�s air-conditioning market in the future and Daikin intends to further increase its market share of residential and large-scale projects"

Collabera Techno...,Private,"Basking Ridge,New Jersey + 39 more",501-1k Employees (India),32 years old,(846 Reviews),232,['IT Services & Consulting'],https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2NvbGxhYmVyYS10ZWNobm9sb2dpZXMuanBn.webp,"Beginning in 1991, Collabera changed the way corporate staffing solutions and services are provided. Our mission has been to prioritize building our relationships over building our bottom line. Simply put, we care about people.

Looking for a job is a tough, grinding, and often fruitless journey; so too the search to find passionate, inspired staff, capable of turning a vision into a success. The most common response to �how�s the job search going?� Usually, a loud, lengthy groan.

At Collabera, we reach out a hand to turn the search into a companionable, supportive journey. A journey that certainly doesn�t inspire groaning, and one that no one ever takes alone.

Our supportive employee network helps place talented professionals at innovative companies across the world, providing continuous support for both client and consultant throughout the length of each project.

We�re the seekers, the hunters, the pacers of pavements, wearing holes in our proverbial shoes looking for the perfect person for the project, the perfect project for the person.

At Collabera, the job isn�t where the journey starts. The job is where the dreaming turns a corner. We�re the page where a story comes to life.

Whether you�re a recent graduate hoping to get your foot in the door, a C-level professional searching for your next challenge, or a company (large or small) in need of staffing support, reach out. We�re here to help."

PI Industries,Public,"Gurgaon/Gurugram,Haryana + 65 more",1k-5k Employees (India),76 years old,(845 Reviews),18,"['Chemicals / Agri Inputs', 'Agro Chemicals', 'Fortune India 500', 'Public', 'Gurgaon/Gurugram,Haryana']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3BpLWluZHVzdHJpZXMuanBn.webp,"Founded in 1946, we work with a unique business model across the Agchem value chain from R&D to distribution providing innovative solutions by partnering with the best.
Known for our technological capabilities in Chemistry/ Engineering related services and on the other hand, have built leading brands over the last 75 years and connected with more than 70,000 retail points pan India."

Standard Charter...,Private,Chennai + 13 more,10k-50k Employees (India),22 years old,(844 Reviews),8,"['BPO/KPO', 'Financial Services', 'IT Services & Consulting', 'Chennai']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3N0YW5kYXJkLWNoYXJ0ZXJlZC1nbG9iYWwtYnVzaW5lc3Mtc2VydmljZXMuanBn.webp,"Standard Chartered Global Business Services Private Limited is a Private incorporated on 19 May 2000. It is classified as Non-govt company and is registered at Registrar of Companies, Chennai. Its authorized share capital is Rs. 100,000,000 and its paid up capital is Rs. 83,116,000. It is inolved in Activities auxiliary to financial intermediation, except insurance and pension funding.[This Group includes activities involved in or closely related to financial inter-mediation other than insurance and pension funding but not themselves involving financial inter-mediation].

Standard Chartered Global Business Services Private Limited's Annual General Meeting (AGM) was last held on 24 September 2018 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2018.

Directors of Standard Chartered Global Business Services Private Limited are Zarin Bomi Daruwala, Matthew Adam Norris, Sham Sunder Arora, Thomas Paul Howie, ."

Unisys,Private,"Blue Bell,Pennsylvania + 10 more",5k-10k Employees (India),37 years old,(840 Reviews),264,"['IT Services & Consulting', 'Software Product']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3VuaXN5cy5qcGc.webp,"Unisys is a global information technology company that builds high-performance, security-centric solutions for the most demanding businesses and governments. Unisys offerings include security software and services; digital transformation and workplace services; industry applications and services; and innovative software operating environments for high-intensity enterprise computing. We build better outcomes securely for our clients across the Government, Financial Services and Commercial markets."

Cin�polis,Morelia + 44 more,52 years old,5k-10k Employees (India),1k-5k Employees (India),(839 Reviews),5,"['Media & Entertainment / Publishing', 'Retail']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2NpbnBvbGlzLmpwZw.webp,"Cin�polis was founded in Mexico in the city of Morelia, Michoac�n in 1971. Today it has positioned itself as the world�s 2nd largest movie theater circuit in attendance, operating 738 cinema complexes, 5,848 screens and over 11,52,480 seats across 17 countries, serving more than 338.4 million patrons worldwide. It was the first cinema exhibitor in the world to pioneer the concept of luxury movie theatres, establishing the first luxury theatre experience in 1999 in Mexico City. Cin�polis aspires to provide its guests with the best overall experience in film entertainment and employs a global workforce of more than 39,370 people to support its mission. Cin�polis plans to continue to revolutionize the industry for years to come.

Cin�polis India is a wholly owned subsidiary of Cin�polis and is the 1st international exhibitor in India. The company currently operates 360 screens under the brand names of Cin�polis, Cin�polis VIP, and Fun Cinemas. Cin�polis operates India�s biggest Megaplex � 15 Screen Multiplex in Pune and has brought innovative concepts to exhibition Industry in India. Cin�polis also offers multi-benefit loyalty program- �Club Cin�polis�, to enhance customer experience and increase loyalty. Club Cin�polis offers free registration, earning and burning of points, invite to pre-screening of movies and star visits. Cin�polis India has been awarded with �Most Admired Retail Launch� in 2010, �Most Admired Retailer � Innovation� in 2011, �Fastest Growing Multiplex Chain� in 2015, �IMAGES Most Admired Retailer � Entertainment� in 2015, �DLP CineAsia Marketing Achievement Award� in 2015, �Best Marketing Campaign of the Year� award at the Making of Developed India awards 2017. In 2018 Cin�polis has been awarded with �Best Multiplex � West�, �Best Multiplex � South� and �Fastest Growing Chain� at the Global awards for Retail Excellence. In 2018, Cin�polis India has been awarded with �Most Trusted Brand of the Year� at Big Cine Expo 2018 and Images Most Admired Retailer � Entertainment at Indian Retail Forum 2018."

Indiabulls Home ...,"Gurgaon/Gurugram,Haryana + 110 more",18 years old,5k-10k Employees (India),5k-10k Employees (India),(838 Reviews),13,"['Financial Services', 'NBFC', 'Fortune India 500', 'Gurgaon/Gurugram,Haryana']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2luZGlhYnVsbHMtaG9tZS1sb2Fucy5qcGc.webp,"A home is not just a place, it is a feeling. It is the answer to one�s need for security, comfort and happiness. A happy home is most often a definite fixture in what can be described as the must haves in life. One�s home is a treasure trove of cherished memories, a safe place for one�s thoughts, and most importantly, a place to call one�s own. Millions of Indians aspire to enjoy the joyous feeling of belonging that comes with one�s own home.

Helping the everyday Indian achieve his/her dreams has been our motto at IBH, since our inception in 2000. As facilitators in one�s housing journey, our constant efforts are directed towards increasing speed, convenience, affordability and the quality of service for home seekers. As a result, we have fostered win-win relationships with over 1 million customers and have cumulatively disbursed home loans of Rs. 1.97 trillion as of the last financial year. We take immense pride in the dreams that we have enabled for our customers, and use this commitment to trust and service towards achieving greater heights each day."

Frankfinn Instit...,Private,"Gurgaon/Gurugram,Haryana + 50 more",1k-5k Employees (India),30 years old,(838 Reviews),121,"['Education & Training', 'Gurgaon/Gurugram,Haryana']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2ZyYW5rZmlubi1pbnN0aXR1dGUtb2YtYWlyLWhvc3Rlc3MtdHJhaW5pbmcuanBn.webp,"Frankfinn � the World's No. 1 Air Hostess Training Institute
Frankfinn has been growing at phenomenal speed since its inception in 1993, and, is today recognised as the World�s no. 1 Air Hostess Training Institute. Frankfinn�s focus lies in creating versatile, balanced and structured training program and Certificate courses for its students. The training is designed after years of dedicated research and provides each student with the knowledge and skill required to achieve great success in the fields of aviation, hospitality, and travel and customer service. With a team of highly qualified and experienced instructors and a network of over forty nine centres spread across India, Frankfinn continues to leverage its domain expertise and deliver word-class training and placement support to all its students. 

The company�s numerous awards and recognitions, serve as a testimony to the amount of hard work, entrepreneurship and dedication that has gone into making Frankfinn, a truly global and renowned brand what it is today."

Vfs Global Servi...,Private,"Mumbai,Maharashtra + 22 more",1k-5k Employees (India),22 years old,(836 Reviews),46,"['BPO/KPO', 'Recruitment', 'BPO', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3Zmcy1nbG9iYWwtc2VydmljZXMuanBn.webp,"VFS Global is the world's largest outsourcing and technology services specialist for governments and diplomatic missions worldwide. The company manages the administrative and non-judgmental tasks related to visa, passport, identity management and other citizen services for its client governments. This enables them to focus entirely on the critical task of assessment."

SS&C TECHNOLOGIE...,Private,"Windsor Locks,Connecticut + 13 more",5k-10k Employees (India),37 years old,(898 Reviews),38,"['Financial Services', 'Internet', 'Software Product', 'Forbes Global 2000']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3NzLWFuZC1jLXRlY2hub2xvZ2llcy5qcGc.webp,"SS&C GlobeOp, a business division of SS&C Technologies, is a leading global provider of cloud-based fund services, technology and mobility-enabled infrastructure for hedge funds, fund of funds, private equity and managed account managers. SS&C GlobeOp�s expertise in business process outsourcing supports complete life cycle capabilities, available on a stand-alone basis to hedge funds, fund of funds, private equity funds, asset managers, family wealth offices, insurance companies, pension funds, corporate treasuries and private/regional banks. By outsourcing to SS&C GlobeOp, clients can reduce their technology investment and operational risks, leaving them more time to focus on asset generation and portfolio management."

GMR Group,Public,"Delhi/NCR,New Delhi + 47 more",5k-10k Employees (India),45 years old,(1.7k Reviews),47,"['Power', 'Engineering & Construction', 'Conglomerate', 'Public', 'Delhi/NCR,New Delhi']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2dtci1ncm91cC5qcGc.webp,"It was in 1978, when G M Rao started off with a small jute mill, and established, over three decades later, what is known today as GMR Group. GMR is today a major player in the Infrastructure Sector, with world class projects in India and abroad. GMR Group is headquartered in New Delhi, and has been developing projects in high growth areas such as Airports, Energy, Transportation and Urban Infrastructure.

GMR Group is one of the fastest growing infrastructure enterprises in the country with a rich and diverse experience spanning three decades. With our vibrant portfolio of projects, GMR is uniquely placed to build state of the art projects in sectors that are of critical importance in the process of development. Using the Public Private Partnership model, the Group has successfully leveraged its core strengths to implement several iconic infrastructure projects in India."

Aptara,Private,"Falls Church,Virginia + 8 more",1k-5k Employees (India),35 years old,(831 Reviews),33,"['BPO/KPO', 'Media & Entertainment / Publishing', 'IT Services & Consulting', 'Printing & Publishing']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2FwdGFyYS5qcGc.webp,"Content. Whatever your business, whatever form your content takes, whether it�s your company�s primary revenue source, a training instrument, or the backbone of your back-office operations. Whether you publish it, mine it, use it to teach, to lawyer, or to comply with federal regulations�or you need customer services to support its distribution and use. No company understands content like Aptara. 
 
Aptara creates content. We design, capture, convert, and enrich it. We repurpose it, manage it, and make it discoverable. We build and support the technology and workflows that move your content across your entire organization and to market quickly and effectively. And we provide business solutions to support your entire content operation.Content can take many forms�books, training materials, compliance filings, product information, marketing materials, depositions, gaming apps, and financial documents.
 
Aptara�s industry veterans have unrivaled expertise in content creation, learning and performance, complex content technology, document processing, and customer relationship management. 
 
Our subject matter experts, instructional content designers, and technologists develop and deploy solutions that achieve efficient, low-cost digital content production for delivery to PCs, tablets, smartphones, and print.Smart content is profitable content. 
 
By developing a lucrative, overarching content strategy, Aptara turns flat, static content into smart content: digital information that can be mined, multipurposed, and monetized. 
 
And Aptara leverages new digital and mobile technology to reveal the revenue opportunities in any information provider�s existing content assets."

Punj Lloyd,Public,"Gurgaon/Gurugram,Haryana + 66 more",1k-5k Employees (India),41 years old,(830 Reviews),9,"['Engineering & Construction', 'Conglomerate', 'Public', 'Gurgaon/Gurugram,Haryana']",https://static.ambitionbox.com/alpha/company/photos/logos/punj-lloyd.jpg,"The Punj Lloyd Group is a diversified international conglomerate offering EPC services in Energy and Infrastructure along with engineering and manufacturing capabilities in the Defence sector.

With a turnover of US$ 651 million, the Group has twenty four international offices across the Middle East, the Caspian, Asia Pacific, Africa, South Asia, China and Europe.

The Group offers EPC solutions across a wide spectrum of businesses and has delivered landmark projects for national and international clients.

Punj Lloyd has also emerged a strong private player in Defence pursuing various programmes under the Land Systems, Aerospace, Small Arms and Security. With its dedicated, high-end facility for Defence in Gwalior, India, Punj Lloyd has built a prestigious clientele for itself including Ordnance Factory Board, Gun Carriage Factory Jabalpur, HAL, GE Aviation, RRCAT, BARC, SAAB , IWI, GCF and Fincantieri among others.

A dynamic enterprise, the Group explores and pursues the enormous opportunity in markets globally. Partnering with the best in their own arena, Punj Lloyd brings technology and quality to clients worldwide and reiterates its belief of delivering the best, in services and manufacturing."

Aadhar Housing F...,Private,"Mumbai,Maharashtra + 199 more",1k-5k Employees (India),13 years old,(830 Reviews),4,"['Financial Services', 'NBFC']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2FhZGhhci1ob3VzaW5nLWZpbmFuY2UuanBn.webp,"Aadhar housing finance ltd (Aadhar), formerly known as DHFL Vysya Housing Finance Ltd, is one of the largest affordable housing finance companies in India servicing the home financing needs of the low income sections of the society. Aadhar endeavours to empower underserved millions to own their first homes.

The erstwhile Aadhar Housing Finance Limited (EAHFL) was incorporated in 2010 and later amalgamated with DHFL Vysya w.e.f 20th November, 2017 and subsequently name changed to Aadhar Housing Finance Limited. Formed With the merger of DHFL Vysya and Aadhar Housing Finance, Aadhar is one of the few players in the industry with a pan-India presence. Today, we provide financing solutions to all segments of customers whose monthly income is between INR 5000 (USD 76) to INR 50000 (USD 765) and above."

Northern Trust O...,Private,"Bangalore/Bengaluru,Karnataka + 10 more",5k-10k Employees (India),18 years old,(829 Reviews),64,"['BPO/KPO', 'Financial Services', 'Forbes Global 2000', 'Bangalore/Bengaluru,Karnataka']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL25vcnRoZXJuLXRydXN0LW9wZXJhdGluZy1zZXJ2aWNlcy5qcGc.webp,"Northern Operating Services Private Limited serve the world�s most successful individuals, families and institutions through deep expertise, a culture of unwavering values and operational precision�working closely with every client to help them achieve something greater.

For more than a century, Northern Trust has worked hard building our legacy of outstanding service, expertise and integrity. From our roots as a trust bank to a global presence today�with nearly 20,000 employees across offices in 22 states and Washington, D.C., and 22 international locations�our foundation of strength and stability helps clients grow with confidence."

Apollo Pharmacy,Private,"Chennai,Tamil Nadu + 134 more",10k-50k Employees (India),40 years old,(826 Reviews),107,"['Retail', 'Pharma', 'Chennai,Tamil Nadu']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2Fwb2xsby1waGFybWFjeS5qcGc.webp,"Apollo Pharmacy is a part of Apollo Hospitals - Asia's largest healthcare group. It is India's first and largest branded pharmacy network, with over 3000 plus outlets in key Locations.

Accredited with - International Quality Certification, Apollo Pharmacy offers genuine medicines round-the-clock, through their 24-hour Pharmacies. Apollo Pharmacy also provides Customer Care any time of the day.

Quality is the cornerstone of our existence. We have gained experience in pharmacy operations management over the last 2 decades and are committed to delivering best service in the industry.

Apollo Pharmacy is well stocked with medicines OTC and FMCG products, manned by competent staff with computerized system.

Apollopharmacy.in has more than 5000 products in various categories like Vitamins and supplements, Baby care, Personal care, Health foods and OTC. In addition to this we have more than 400 Apollo Brand Products in the following categories like vitamins and supplements, health food,

Oral care, skin care, personal care, baby care, OTC etc."

Haldiram Foods,Private,Nagpur + 80 more,1k-5k Employees (India),53 years old,(926 Reviews),10,"['FMCG', 'Retail', 'Nagpur']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2hhbGRpcmFtLWZvb2RzLmpwZw.webp,"""Over the course of eight decades, a lot has changed about us. We have relocated, undergone expansion, developed new product lines & added segments, opened retail chains & stores across India and embraced new markets overseas. One thing hasn�t changed - we�re still a tight-knit family business, committed to serving the most authentic taste of India through our products.

Our origins can be traced back to a small namkeen shop in Bikaner founded by Ganga Bishan Agarwal (Haldiram Ji). This modest shop quickly gained popularity and scaled up to meet a booming demand for its unique-tasting bhujia. Building on this legacy, his grandson, our pioneer Mr. Shiv Kishan Agrawal steered the business towards the heights it has tasted today.

Determined to take bhujia beyond the boundaries of Bikaner, he shifted base to Nagpur in 1970. We opened our first full-production unit to introduce a delectable variety of savouries, sweets and beverages to the market. The success of this venture led us to expand and evolve as a brand, that is an integral part of every Indian household.

From our formative years, he instilled the value of keeping the tradition and quality intact, even as we matured as a company. All our products maintain a consistent sense of simplicity. The ingredients and recipes were picked to accentuate these ideas and are followed to this date. We promise that all our products are natural, wholesome and have a homemade feel to them.

Although, Haldiram�s is about more than just food. By creating a strong sense of community and supporting our associates, we continue to feel like a true family business. We carry these values with us as we operate together to serve generations of happy connoisseurs across the globe and continue to be the nation�s beloved snack-food company.

As the age old saying goes, �The way to one�s heart courses through their stomach�. We want to leave no stone unturned to win your hearts."""

Sharekhan,Public,"Mumbai,Maharashtra + 100 more",1k-5k Employees (India),23 years old,(825 Reviews),53,"['Internet', 'FinTech', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3NoYXJla2hhbi5qcGc.webp,"Founded in 2000 and a subsidiary of BNP Paribas since November 2016, Sharekhan was one of the first brokers to offer online trading in India. With 16 lakh customers, 153 branches and more than 2400 business partners spread across over 575 locations, Sharekhan is one of the largest brokers in India. Sharekhan offers a wide range of savings & investment solutions including equities, futures and options. currency trading, portfolio management, research and mutual funds and investor education. On an average, Sharekhan executes more than 400,000 trades daily"

ABC,Public,New York + 88 more,1k-5k Employees (Global),80 years old,(822 Reviews),34,"['Media & Entertainment / Publishing', 'Logistics', 'Public']",https://static.ambitionbox.com/alpha/company/photos/logos/abc.jpg,"The ABC Television Network is home to the Emmy-winning ""Modern Family"" and comedy favorite ""The Goldbergs""; reality phenomenons ""Shark Tank"" and ""American Idol"" as well as long-running hit ""Dancing with the Stars""; ""General Hospital,"" along with daytime talk show ""The View"" and late-night talk show ""Jimmy Kimmel Live!"" The network also boasts some of television's most prestigious awards shows, including The Oscars, the Country Music Awards, The American Music Awards and more.

ABC Studios is a leader in the development, production and strategic distribution of entertainment content and is the key content provider for the ABC Entertainment Group. The studio's current hits include ""Grey's Anatomy,"" ""The Good Doctor,"" ""American Housewife,"" ""Speechless,"" ""Marvel's Agents of S.H.I.E.L.D."" and more series that air on other networks."

Krishna Maruti,Private,"Gurgaon/Gurugram,Haryana + 20 more",1k-5k Employees (India),29 years old,(820 Reviews),4,"['Industrial Machinery', 'Manufacturing', 'Auto Components', 'Gurgaon/Gurugram,Haryana']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2tyaXNobmEtbWFydXRpLmpwZw.webp,"The Krishna Maruti Group, a 365 million dollar conglomerate, was incorporated in 1994 as an ancillary to Maruti Udyog Ltd. For manufacture and supply of Seating systems by its chairman Mr. Ashok Kapur. The group today manufactures Seating Systems, Injection Molded Door Trims, Rear View Mirrors, Head Rest Assemblies, Arm Rest Assemblies, Roof liners and Molded Carpets and a vast diverse range of Injection molded parts catering to Automotive as well as Two wheeler industry."

Saipem,Private,"San Donato Milanese,Milan + 29 more",10k-50k Employees (Global),66 years old,(819 Reviews),4,"['Industrial Machinery', 'Conglomerate', 'Forbes Global 2000']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3NhaXBlbS5qcGc.webp,"Saipem is an advanced technological and engineering platform for the design, construction, and operation of complex, safe and sustainable infrastructures and plants."

Sysnet Global Te...,Private,"Delhi/NCR,Delhi + 93 more",1k-5k Employees (India),24 years old,(818 Reviews),40,['IT Services & Consulting'],https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3N5c25ldC1nbG9iYWwtdGVjaG5vbG9naWVzLmpwZw.webp,"Sysnet is an IT infrastructure management provider. For over twenty years, we have relentlessly provided quality service to customers, directly and on behalf of our clients, helping them maximize productivity of their IT assets. We have earned their respect as a reliable business partner, committed to providing quality services in the remotest of locations across the country. Our team of committed technical and management professionals supported by state-of-the-art CRM solutions - ensure that we not only respond effectively to a customer�s IT needs, but proactively anticipate them. Thus helping our users focus on their core deliverables. The world of Sysnet is all-pervasive. Our clientele includes Banking, Insurance, Corporate, Heath, Hospitality and private sectors along with Government, Semi-Government, Autonomous and Educational Institutions."

Tata Communicati...,Private,Mumbai + 57 more,10k-50k Employees (India),17 years old,(818 Reviews),25,"['Telecom', 'Mumbai']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3RhdGEtY29tbXVuaWNhdGlvbnMtdHJhbnNmb3JtYXRpb24tc2VydmljZXMuanBn.webp,"Tata Communications is operating at a pivotal moment in the evolution of human activity � the so-called �Fourth Industrial Revolution�. As a leading provider of global digital infrastructure services, the company provides the integrated, globally managed tech solutions that underpin the fast-growing digital economy.Always an agile, challenger brand, the company�s journey � first from India-based public sector agency to global telco and now to digital infrastructure solutions � has given it intimate and intricate knowledge and know-how to uniquely advise and enable organisations around the world in their own voyage of digital transformation.
As businesses and societies seek new and better ways to make digital work for them, the more their inspiration and aspirations evolve. Tata Communications focuses on helping businesses understand and navigate through the vast potential offered by technologies that they have come to rely upon � such as network, mobility, collaboration and security services. Looking further out, it also shapes the future by investing in emerging trends � such as IoT, AI, automation and analytics. And it delivers all this seamlessly through the cloud, which in turn is underpinned by one of the most advanced, wholly-owned sub-sea fibre-optic networks in the world.For thousands of customers across the globe, Tata Communications sparks an infinite universe of connections in the cloud and under the seas. Its 150-year Tata heritage grounded in social responsibility, humility and impeccable integrity, coupled with its creative, keen, challenge to win mindset makes Tata Communications uniquely positioned to provide digital infrastructure services for enterprises, partners and service providers everywhere. Tata Communications enables its customers� digital future today while also partnering with them, with governments and with society, to build a better tomorrow."

Indian Railways,Govt Organisation,"Delhi/NCR,Delhi + 136 more",1 Lakh+ Employees (India),170 years old,(2.7k Reviews),39,"['Urban Transport', 'Railways', 'Government']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2luZGlhbi1yYWlsd2F5cy5qcGc.webp,"About Indian RailwaysThe first railway on Indian sub-continent ran over a stretch of 21 miles from Bombay to Thane. The idea of a railway to connect Bombay with Thane, Kalyan and with the Thal and Bhore Ghats inclines first occurred to Mr. George Clark, the Chief Engineer of the Bombay Government, during a visit to Bhandup in 1843.The formal inauguration ceremony was performed on 16th April 1853, when 14 railway carriages carrying about 400 guests left Bori Bunder at 3.30 pm ""amidst the loud applause of a vast multitude and to the salute of 21 guns."" The first passenger train steamed out of Howrah station destined for Hooghly, a distance of 24 miles, on 15th August, 1854. Thus the first section of the East Indian Railway was opened to public traffic, inaugurating the beginning of railway transport on the Eastern side of the subcontinent. In south the first line was opened on Ist July, 1856 by the Madras Railway Company. It ran between Vyasarpadi Jeeva Nilayam (Veyasarpandy) and Walajah Road (Arcot), a distance of 63 miles. In the North a length of 119 miles of line was laid from Allahabad to Kanpur on 3rd March 1859. The first section from Hathras Road to Mathura Cantonment was opened to traffic on 19th October, 1875."

Gland Pharma,Private,"Hyderabad/Secunderabad,Telangana + 21 more",1k-5k Employees (India),45 years old,(1.4k Reviews),4,"['Manufacturing', 'Pharma', 'Fortune India 500', 'Hyderabad/Secunderabad,Telangana']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2dsYW5kLXBoYXJtYS1saW1pdGVkLmpwZw.webp,"Established in Hyderabad, India in 1978, Gland Pharma has grown over the years from a contract manufacturer of small volume liquid parenteral products, to become one of the largest and fastest growing injectable-focused companies, with a global footprint across 60 countries, including the United States, Europe, Canada, Australia, India and other markets. We operate primarily under a business to business (B2B) model and have an excellent track record in the development, manufacturing and marketing of complex injectables. This presence across the value chain has helped us witness exponential growth. We are promoted by Shanghai Fosun Pharma, a global pharmaceutical major."

Amity University,Private,"Noida,Uttar Pradesh + 67 more",1k-5k Employees (India),18 years old,(813 Reviews),53,"['Education & Training', 'Noida,Uttar Pradesh']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2FtaXR5LXVuaXZlcnNpdHkuanBn.webp,"""At Amity we benchmark only against the best institutions around the world. Our faculty and senior team travel all over the globe to learn and imbibe the best practices so that we can give a solid foundation for learning.

As part of this endeavour, we have air-conditioned amphitheatre style classrooms that provide the most conducive atmosphere for dynamic and focused discussions, while the libraries at our campus are equipped with over 1,00,000 books, periodicals, national and international journals, CD-ROMS, covering all aspects of academic studies and research material. The hi-tech labs act as ideal training grounds for budding professionals that allow students to experiment and bring to practice what they have learnt in theory."""

